Category: All categories

Region,Halal Guys: (9/26/14 - 9/26/19)
New Jersey,100
New York,87
District of Columbia,64
California,57
Louisiana,52
Texas,49
Nevada,45
Maryland,44
Virginia,42
Illinois,41
Connecticut,37
Arizona,31
Massachusetts,29
Pennsylvania,25
Georgia,22
Washington,19
Florida,17
Wisconsin,13
Tennessee,8
Michigan,6
Colorado,4
North Carolina,4
Minnesota,3
Ohio,3
Oklahoma,3
Missouri,3
Oregon,2
Delaware,
Rhode Island,
Hawaii,
New Hampshire,
Indiana,
Utah,
Kentucky,
Vermont,
New Mexico,
Alabama,
Arkansas,
Mississippi,
South Carolina,
Nebraska,
West Virginia,
North Dakota,
Montana,
Iowa,
Maine,
Kansas,
Idaho,
Alaska,
Wyoming,
South Dakota,
