Category: All categories

Week,texas roadhouse: (United States)
2014-09-28,34
2014-10-05,34
2014-10-12,35
2014-10-19,35
2014-10-26,35
2014-11-02,38
2014-11-09,51
2014-11-16,37
2014-11-23,38
2014-11-30,33
2014-12-07,37
2014-12-14,45
2014-12-21,58
2014-12-28,66
2015-01-04,41
2015-01-11,43
2015-01-18,46
2015-01-25,42
2015-02-01,41
2015-02-08,63
2015-02-15,51
2015-02-22,43
2015-03-01,43
2015-03-08,44
2015-03-15,42
2015-03-22,42
2015-03-29,41
2015-04-05,40
2015-04-12,39
2015-04-19,39
2015-04-26,37
2015-05-03,41
2015-05-10,49
2015-05-17,38
2015-05-24,41
2015-05-31,39
2015-06-07,40
2015-06-14,43
2015-06-21,51
2015-06-28,44
2015-07-05,41
2015-07-12,43
2015-07-19,44
2015-07-26,44
2015-08-02,44
2015-08-09,43
2015-08-16,43
2015-08-23,41
2015-08-30,38
2015-09-06,43
2015-09-13,37
2015-09-20,38
2015-09-27,40
2015-10-04,40
2015-10-11,41
2015-10-18,41
2015-10-25,38
2015-11-01,43
2015-11-08,60
2015-11-15,41
2015-11-22,44
2015-11-29,38
2015-12-06,43
2015-12-13,47
2015-12-20,65
2015-12-27,81
2016-01-03,54
2016-01-10,50
2016-01-17,51
2016-01-24,50
2016-01-31,51
2016-02-07,60
2016-02-14,78
2016-02-21,55
2016-02-28,53
2016-03-06,51
2016-03-13,52
2016-03-20,55
2016-03-27,55
2016-04-03,54
2016-04-10,50
2016-04-17,48
2016-04-24,49
2016-05-01,52
2016-05-08,63
2016-05-15,49
2016-05-22,47
2016-05-29,51
2016-06-05,48
2016-06-12,51
2016-06-19,58
2016-06-26,46
2016-07-03,52
2016-07-10,46
2016-07-17,51
2016-07-24,50
2016-07-31,50
2016-08-07,48
2016-08-14,48
2016-08-21,47
2016-08-28,44
2016-09-04,46
2016-09-11,42
2016-09-18,45
2016-09-25,45
2016-10-02,43
2016-10-09,46
2016-10-16,45
2016-10-23,44
2016-10-30,47
2016-11-06,58
2016-11-13,46
2016-11-20,46
2016-11-27,41
2016-12-04,44
2016-12-11,48
2016-12-18,65
2016-12-25,78
2017-01-01,63
2017-01-08,54
2017-01-15,57
2017-01-22,54
2017-01-29,57
2017-02-05,54
2017-02-12,74
2017-02-19,62
2017-02-26,60
2017-03-05,57
2017-03-12,59
2017-03-19,57
2017-03-26,55
2017-04-02,52
2017-04-09,52
2017-04-16,52
2017-04-23,50
2017-04-30,52
2017-05-07,56
2017-05-14,67
2017-05-21,53
2017-05-28,57
2017-06-04,54
2017-06-11,60
2017-06-18,66
2017-06-25,52
2017-07-02,60
2017-07-09,54
2017-07-16,57
2017-07-23,56
2017-07-30,56
2017-08-06,53
2017-08-13,53
2017-08-20,47
2017-08-27,47
2017-09-03,50
2017-09-10,46
2017-09-17,46
2017-09-24,48
2017-10-01,46
2017-10-08,49
2017-10-15,47
2017-10-22,47
2017-10-29,50
2017-11-05,68
2017-11-12,54
2017-11-19,55
2017-11-26,46
2017-12-03,51
2017-12-10,56
2017-12-17,68
2017-12-24,86
2017-12-31,79
2018-01-07,60
2018-01-14,64
2018-01-21,62
2018-01-28,63
2018-02-04,56
2018-02-11,86
2018-02-18,72
2018-02-25,68
2018-03-04,65
2018-03-11,64
2018-03-18,64
2018-03-25,67
2018-04-01,66
2018-04-08,60
2018-04-15,58
2018-04-22,57
2018-04-29,53
2018-05-06,60
2018-05-13,69
2018-05-20,54
2018-05-27,58
2018-06-03,56
2018-06-10,61
2018-06-17,70
2018-06-24,57
2018-07-01,63
2018-07-08,55
2018-07-15,60
2018-07-22,59
2018-07-29,57
2018-08-05,59
2018-08-12,58
2018-08-19,55
2018-08-26,52
2018-09-02,57
2018-09-09,49
2018-09-16,51
2018-09-23,52
2018-09-30,54
2018-10-07,55
2018-10-14,58
2018-10-21,55
2018-10-28,56
2018-11-04,60
2018-11-11,75
2018-11-18,60
2018-11-25,51
2018-12-02,57
2018-12-09,64
2018-12-16,72
2018-12-23,97
2018-12-30,100
2019-01-06,66
2019-01-13,63
2019-01-20,70
2019-01-27,67
2019-02-03,64
2019-02-10,97
2019-02-17,76
2019-02-24,74
2019-03-03,71
2019-03-10,72
2019-03-17,73
2019-03-24,71
2019-03-31,67
2019-04-07,63
2019-04-14,70
2019-04-21,67
2019-04-28,64
2019-05-05,72
2019-05-12,84
2019-05-19,65
2019-05-26,68
2019-06-02,63
2019-06-09,71
2019-06-16,82
2019-06-23,65
2019-06-30,70
2019-07-07,61
2019-07-14,64
2019-07-21,67
2019-07-28,69
2019-08-04,65
2019-08-11,65
2019-08-18,66
2019-08-25,59
2019-09-01,63
2019-09-08,56
2019-09-15,59
2019-09-22,85
