Category: All categories

Region,chipotle: (9/26/14 - 9/26/19)
Ohio,100
District of Columbia,83
Maryland,78
Minnesota,72
Arizona,59
Illinois,56
Kansas,55
Colorado,54
Virginia,53
Florida,48
California,46
New York,45
Missouri,45
New Jersey,45
Pennsylvania,43
Massachusetts,42
Nevada,39
Texas,39
Rhode Island,37
Delaware,37
Nebraska,36
Michigan,34
North Carolina,34
Connecticut,34
Georgia,33
Indiana,32
Washington,32
New Hampshire,31
Oregon,30
Kentucky,28
Maine,27
South Carolina,25
Oklahoma,25
Wisconsin,24
Tennessee,24
New Mexico,24
Utah,22
West Virginia,22
Alabama,21
Vermont,19
Iowa,19
Idaho,19
Arkansas,17
Montana,16
Louisiana,16
North Dakota,16
Wyoming,14
Hawaii,13
Mississippi,9
Alaska,9
South Dakota,8
