Category: All categories

Region,taco bell: (9/26/14 - 9/26/19)
Indiana,100
Michigan,99
Ohio,99
Kentucky,94
Missouri,93
Tennessee,92
Arkansas,90
West Virginia,90
Alabama,87
Louisiana,85
Mississippi,84
Idaho,78
Oklahoma,78
Arizona,75
Wisconsin,74
Nevada,72
Georgia,72
Nebraska,71
Kansas,69
Illinois,68
Colorado,68
North Carolina,67
South Carolina,66
Florida,66
New Mexico,62
Texas,62
Oregon,62
Minnesota,59
California,58
South Dakota,58
Montana,56
Washington,55
Alaska,55
Utah,54
Wyoming,54
Virginia,54
North Dakota,53
Maryland,52
Hawaii,52
Rhode Island,50
Delaware,49
Pennsylvania,48
Iowa,48
District of Columbia,43
New Jersey,42
Connecticut,40
New York,38
New Hampshire,32
Massachusetts,32
Maine,26
Vermont,19
