Week,Chipotle,Five Guys,Halal Guys,McDonalds,Panera Bread,Shake Shack,Taco Bell,Texas Roadhouse
9/24/2017,65,73,74,55,88,46,61,48
10/1/2017,66,75,74,75,87,46,68,47
10/8/2017,61,75,71,65,91,100,66,48
10/15/2017,64,79,79,57,90,60,62,48
10/22/2017,67,77,75,57,91,53,64,47
10/29/2017,84,76,59,55,90,51,71,49
11/5/2017,64,75,65,56,97,52,57,66
11/12/2017,59,71,72,57,90,48,56,55
11/19/2017,52,73,68,66,76,49,66,55
11/26/2017,58,70,63,54,82,50,59,47
12/3/2017,58,73,64,54,88,53,57,52
12/10/2017,56,74,66,52,88,64,55,57
12/17/2017,60,82,75,55,92,63,62,70
12/24/2017,61,86,91,87,88,67,79,84
12/31/2017,65,84,70,68,92,56,76,80
1/7/2018,58,74,68,59,89,50,66,60
1/14/2018,59,75,76,59,91,58,61,66
1/21/2018,59,77,72,57,91,48,81,61
1/28/2018,60,75,60,56,95,51,80,62
2/4/2018,58,74,70,55,83,57,64,57
2/11/2018,62,82,70,57,86,53,63,84
2/18/2018,62,89,75,58,90,59,65,71
2/25/2018,66,83,74,65,90,51,62,66
3/4/2018,61,85,78,64,87,54,59,64
3/11/2018,60,85,68,59,86,58,62,62
3/18/2018,62,85,84,57,91,65,66,63
3/25/2018,62,92,83,66,88,71,69,66
4/1/2018,69,90,76,61,93,65,70,66
4/8/2018,61,82,72,59,84,56,67,58
4/15/2018,63,82,72,59,89,65,68,60
4/22/2018,73,80,74,59,91,69,68,57
4/29/2018,73,81,70,59,89,69,71,55
5/6/2018,84,80,78,60,90,59,67,58
5/13/2018,68,78,78,61,90,60,65,68
5/20/2018,67,88,77,62,89,63,67,53
5/27/2018,68,90,82,66,87,64,69,58
6/3/2018,79,85,76,65,90,71,72,53
6/10/2018,68,90,86,66,89,74,80,62
6/17/2018,68,86,87,65,86,71,75,71
6/24/2018,74,90,87,67,88,72,79,58
7/1/2018,73,97,94,72,83,81,88,64
7/8/2018,70,83,81,68,90,68,82,54
7/15/2018,69,88,84,73,91,70,81,59
7/22/2018,69,87,84,82,90,69,80,59
7/29/2018,100,86,81,76,97,75,76,57
8/5/2018,71,87,80,71,95,72,73,58
8/12/2018,79,85,79,65,92,65,73,57
8/19/2018,69,89,68,64,88,68,75,54
8/26/2018,63,83,72,63,85,65,76,51
9/2/2018,66,79,73,62,85,65,73,57
9/9/2018,60,76,72,59,88,55,69,48
9/16/2018,63,86,75,61,91,63,74,51
9/23/2018,65,80,73,62,95,57,72,52
9/30/2018,70,78,65,65,92,60,77,54
10/7/2018,66,81,65,66,96,65,71,55
10/14/2018,66,84,70,64,100,92,70,58
10/21/2018,65,78,67,65,95,74,77,54
10/28/2018,90,80,76,64,91,62,83,56
11/4/2018,65,78,66,62,93,64,67,60
11/11/2018,67,78,71,60,96,91,67,76
11/18/2018,67,80,71,73,77,72,75,60
11/25/2018,63,78,66,59,89,60,72,50
12/2/2018,65,80,72,60,93,62,71,56
12/9/2018,64,84,73,59,96,69,67,65
12/16/2018,68,85,83,61,97,82,71,72
12/23/2018,77,99,92,100,88,97,94,99
12/30/2018,95,99,87,80,98,89,96,100
1/6/2019,78,78,75,60,97,73,78,68
1/13/2019,74,84,71,67,94,68,73,64
1/20/2019,71,81,73,60,99,66,73,68
1/27/2019,70,81,66,60,98,69,74,64
2/3/2019,74,82,73,61,91,62,73,64
2/10/2019,71,94,76,60,93,68,75,96
2/17/2019,75,93,68,63,98,73,81,76
2/24/2019,73,89,76,60,95,66,76,74
3/3/2019,70,88,79,62,91,66,81,71
3/10/2019,77,92,81,64,89,74,77,74
3/17/2019,74,89,81,65,89,83,76,72
3/24/2019,76,94,81,67,91,86,74,70
3/31/2019,88,91,86,65,90,77,77,67
4/7/2019,78,87,88,63,88,82,76,64
4/14/2019,77,91,88,64,90,81,79,68
4/21/2019,83,94,83,67,91,76,82,67
4/28/2019,80,89,81,66,91,79,81,63
5/5/2019,91,86,90,66,88,76,79,71
5/12/2019,74,88,100,67,91,78,92,82
5/19/2019,77,93,88,67,91,91,99,65
5/26/2019,82,100,95,72,85,90,97,68
6/2/2019,95,88,95,73,89,88,93,62
6/9/2019,80,95,92,78,88,89,93,70
6/16/2019,76,91,87,76,88,86,100,79
6/23/2019,80,92,90,83,92,89,96,66
6/30/2019,78,98,91,79,82,93,99,68
7/7/2019,76,85,87,74,88,82,94,61
7/14/2019,76,94,88,75,90,91,95,64
7/21/2019,80,95,87,76,91,90,95,66
7/28/2019,86,92,83,74,89,97,92,67
8/4/2019,82,92,78,69,90,98,90,65
8/11/2019,73,89,78,71,91,87,91,65
8/18/2019,71,82,92,67,86,94,87,65
8/25/2019,68,84,82,66,82,82,85,59
9/1/2019,68,77,77,66,77,75,82,61
9/8/2019,68,76,72,61,84,67,79,54
9/15/2019,73,80,77,62,87,67,86,58
9/22/2019,76,82,71,63,90,65,87,59
