Category: All categories

Week,Taco Bell: (United States)
2017-09-24,61
2017-10-01,68
2017-10-08,66
2017-10-15,62
2017-10-22,64
2017-10-29,71
2017-11-05,57
2017-11-12,56
2017-11-19,66
2017-11-26,59
2017-12-03,57
2017-12-10,55
2017-12-17,62
2017-12-24,79
2017-12-31,76
2018-01-07,66
2018-01-14,61
2018-01-21,81
2018-01-28,80
2018-02-04,64
2018-02-11,63
2018-02-18,65
2018-02-25,62
2018-03-04,59
2018-03-11,62
2018-03-18,66
2018-03-25,69
2018-04-01,70
2018-04-08,67
2018-04-15,68
2018-04-22,68
2018-04-29,71
2018-05-06,67
2018-05-13,65
2018-05-20,67
2018-05-27,69
2018-06-03,72
2018-06-10,80
2018-06-17,75
2018-06-24,79
2018-07-01,88
2018-07-08,82
2018-07-15,81
2018-07-22,80
2018-07-29,76
2018-08-05,73
2018-08-12,73
2018-08-19,75
2018-08-26,76
2018-09-02,73
2018-09-09,69
2018-09-16,74
2018-09-23,72
2018-09-30,77
2018-10-07,71
2018-10-14,70
2018-10-21,77
2018-10-28,83
2018-11-04,67
2018-11-11,67
2018-11-18,75
2018-11-25,72
2018-12-02,71
2018-12-09,67
2018-12-16,71
2018-12-23,94
2018-12-30,96
2019-01-06,78
2019-01-13,73
2019-01-20,73
2019-01-27,74
2019-02-03,73
2019-02-10,75
2019-02-17,81
2019-02-24,76
2019-03-03,81
2019-03-10,77
2019-03-17,76
2019-03-24,74
2019-03-31,77
2019-04-07,76
2019-04-14,79
2019-04-21,82
2019-04-28,81
2019-05-05,79
2019-05-12,92
2019-05-19,99
2019-05-26,97
2019-06-02,93
2019-06-09,93
2019-06-16,100
2019-06-23,96
2019-06-30,99
2019-07-07,94
2019-07-14,95
2019-07-21,95
2019-07-28,92
2019-08-04,90
2019-08-11,91
2019-08-18,87
2019-08-25,85
2019-09-01,82
2019-09-08,79
2019-09-15,86
2019-09-22,87
