Category: All categories

Week,Panera bread: (United States)
2014-09-28,68
2014-10-05,70
2014-10-12,69
2014-10-19,66
2014-10-26,62
2014-11-02,66
2014-11-09,64
2014-11-16,68
2014-11-23,56
2014-11-30,62
2014-12-07,62
2014-12-14,61
2014-12-21,56
2014-12-28,62
2015-01-04,60
2015-01-11,59
2015-01-18,57
2015-01-25,54
2015-02-01,51
2015-02-08,54
2015-02-15,59
2015-02-22,61
2015-03-01,54
2015-03-08,54
2015-03-15,64
2015-03-22,69
2015-03-29,71
2015-04-05,67
2015-04-12,65
2015-04-19,67
2015-04-26,64
2015-05-03,69
2015-05-10,62
2015-05-17,66
2015-05-24,62
2015-05-31,67
2015-06-07,65
2015-06-14,66
2015-06-21,69
2015-06-28,64
2015-07-05,70
2015-07-12,67
2015-07-19,70
2015-07-26,65
2015-08-02,67
2015-08-09,67
2015-08-16,66
2015-08-23,65
2015-08-30,65
2015-09-06,63
2015-09-13,67
2015-09-20,67
2015-09-27,78
2015-10-04,77
2015-10-11,75
2015-10-18,75
2015-10-25,72
2015-11-01,74
2015-11-08,78
2015-11-15,69
2015-11-22,61
2015-11-29,68
2015-12-06,65
2015-12-13,68
2015-12-20,68
2015-12-27,75
2016-01-03,79
2016-01-10,71
2016-01-17,76
2016-01-24,74
2016-01-31,75
2016-02-07,77
2016-02-14,78
2016-02-21,75
2016-02-28,72
2016-03-06,72
2016-03-13,77
2016-03-20,79
2016-03-27,84
2016-04-03,83
2016-04-10,78
2016-04-17,75
2016-04-24,78
2016-05-01,75
2016-05-08,79
2016-05-15,86
2016-05-22,84
2016-05-29,82
2016-06-05,83
2016-06-12,85
2016-06-19,83
2016-06-26,79
2016-07-03,79
2016-07-10,84
2016-07-17,85
2016-07-24,85
2016-07-31,78
2016-08-07,78
2016-08-14,76
2016-08-21,77
2016-08-28,73
2016-09-04,72
2016-09-11,75
2016-09-18,79
2016-09-25,80
2016-10-02,80
2016-10-09,91
2016-10-16,85
2016-10-23,82
2016-10-30,82
2016-11-06,80
2016-11-13,83
2016-11-20,72
2016-11-27,78
2016-12-04,71
2016-12-11,69
2016-12-18,70
2016-12-25,63
2017-01-01,69
2017-01-08,69
2017-01-15,69
2017-01-22,70
2017-01-29,70
2017-02-05,65
2017-02-12,70
2017-02-19,74
2017-02-26,72
2017-03-05,73
2017-03-12,70
2017-03-19,71
2017-03-26,79
2017-04-02,100
2017-04-09,88
2017-04-16,87
2017-04-23,93
2017-04-30,92
2017-05-07,95
2017-05-14,95
2017-05-21,95
2017-05-28,89
2017-06-04,88
2017-06-11,85
2017-06-18,81
2017-06-25,84
2017-07-02,83
2017-07-09,85
2017-07-16,79
2017-07-23,82
2017-07-30,82
2017-08-06,79
2017-08-13,79
2017-08-20,77
2017-08-27,81
2017-09-03,76
2017-09-10,85
2017-09-17,87
2017-09-24,89
2017-10-01,89
2017-10-08,93
2017-10-15,91
2017-10-22,89
2017-10-29,83
2017-11-05,87
2017-11-12,76
2017-11-19,65
2017-11-26,69
2017-12-03,76
2017-12-10,80
2017-12-17,89
2017-12-24,83
2017-12-31,87
2018-01-07,81
2018-01-14,77
2018-01-21,80
2018-01-28,81
2018-02-04,72
2018-02-11,75
2018-02-18,79
2018-02-25,77
2018-03-04,76
2018-03-11,76
2018-03-18,79
2018-03-25,80
2018-04-01,83
2018-04-08,72
2018-04-15,71
2018-04-22,78
2018-04-29,72
2018-05-06,75
2018-05-13,73
2018-05-20,74
2018-05-27,75
2018-06-03,77
2018-06-10,76
2018-06-17,71
2018-06-24,74
2018-07-01,72
2018-07-08,77
2018-07-15,77
2018-07-22,76
2018-07-29,85
2018-08-05,79
2018-08-12,80
2018-08-19,74
2018-08-26,73
2018-09-02,70
2018-09-09,75
2018-09-16,80
2018-09-23,81
2018-09-30,74
2018-10-07,78
2018-10-14,84
2018-10-21,80
2018-10-28,75
2018-11-04,78
2018-11-11,84
2018-11-18,68
2018-11-25,75
2018-12-02,81
2018-12-09,83
2018-12-16,87
2018-12-23,78
2018-12-30,88
2019-01-06,84
2019-01-13,79
2019-01-20,85
2019-01-27,85
2019-02-03,84
2019-02-10,89
2019-02-17,93
2019-02-24,91
2019-03-03,91
2019-03-10,84
2019-03-17,81
2019-03-24,77
2019-03-31,76
2019-04-07,77
2019-04-14,82
2019-04-21,80
2019-04-28,79
2019-05-05,77
2019-05-12,79
2019-05-19,79
2019-05-26,77
2019-06-02,78
2019-06-09,77
2019-06-16,80
2019-06-23,80
2019-06-30,72
2019-07-07,78
2019-07-14,75
2019-07-21,79
2019-07-28,80
2019-08-04,77
2019-08-11,78
2019-08-18,76
2019-08-25,69
2019-09-01,69
2019-09-08,73
2019-09-15,75
2019-09-22,75
