Category: All categories

Week,Texas Roadhouse: (United States)
2017-09-24,48
2017-10-01,47
2017-10-08,48
2017-10-15,48
2017-10-22,47
2017-10-29,49
2017-11-05,66
2017-11-12,55
2017-11-19,55
2017-11-26,47
2017-12-03,52
2017-12-10,57
2017-12-17,70
2017-12-24,84
2017-12-31,80
2018-01-07,60
2018-01-14,66
2018-01-21,61
2018-01-28,62
2018-02-04,57
2018-02-11,84
2018-02-18,71
2018-02-25,66
2018-03-04,64
2018-03-11,62
2018-03-18,63
2018-03-25,66
2018-04-01,66
2018-04-08,58
2018-04-15,60
2018-04-22,57
2018-04-29,55
2018-05-06,58
2018-05-13,68
2018-05-20,53
2018-05-27,58
2018-06-03,53
2018-06-10,62
2018-06-17,71
2018-06-24,58
2018-07-01,64
2018-07-08,54
2018-07-15,59
2018-07-22,59
2018-07-29,57
2018-08-05,58
2018-08-12,57
2018-08-19,54
2018-08-26,51
2018-09-02,57
2018-09-09,48
2018-09-16,51
2018-09-23,52
2018-09-30,54
2018-10-07,55
2018-10-14,58
2018-10-21,54
2018-10-28,56
2018-11-04,60
2018-11-11,76
2018-11-18,60
2018-11-25,50
2018-12-02,56
2018-12-09,65
2018-12-16,72
2018-12-23,99
2018-12-30,100
2019-01-06,68
2019-01-13,64
2019-01-20,68
2019-01-27,64
2019-02-03,64
2019-02-10,96
2019-02-17,76
2019-02-24,74
2019-03-03,71
2019-03-10,74
2019-03-17,72
2019-03-24,70
2019-03-31,67
2019-04-07,64
2019-04-14,68
2019-04-21,67
2019-04-28,63
2019-05-05,71
2019-05-12,82
2019-05-19,65
2019-05-26,68
2019-06-02,62
2019-06-09,70
2019-06-16,79
2019-06-23,66
2019-06-30,68
2019-07-07,61
2019-07-14,64
2019-07-21,66
2019-07-28,67
2019-08-04,65
2019-08-11,65
2019-08-18,65
2019-08-25,59
2019-09-01,61
2019-09-08,54
2019-09-15,58
2019-09-22,59
