Category: All categories

Week,Chipotle Mexican Grill: (United States)
2017-09-24,65
2017-10-01,66
2017-10-08,61
2017-10-15,64
2017-10-22,67
2017-10-29,84
2017-11-05,64
2017-11-12,59
2017-11-19,52
2017-11-26,58
2017-12-03,58
2017-12-10,56
2017-12-17,60
2017-12-24,61
2017-12-31,65
2018-01-07,58
2018-01-14,59
2018-01-21,59
2018-01-28,60
2018-02-04,58
2018-02-11,62
2018-02-18,62
2018-02-25,66
2018-03-04,61
2018-03-11,60
2018-03-18,62
2018-03-25,62
2018-04-01,69
2018-04-08,61
2018-04-15,63
2018-04-22,73
2018-04-29,73
2018-05-06,84
2018-05-13,68
2018-05-20,67
2018-05-27,68
2018-06-03,79
2018-06-10,68
2018-06-17,68
2018-06-24,74
2018-07-01,73
2018-07-08,70
2018-07-15,69
2018-07-22,69
2018-07-29,100
2018-08-05,71
2018-08-12,79
2018-08-19,69
2018-08-26,63
2018-09-02,66
2018-09-09,60
2018-09-16,63
2018-09-23,65
2018-09-30,70
2018-10-07,66
2018-10-14,66
2018-10-21,65
2018-10-28,90
2018-11-04,65
2018-11-11,67
2018-11-18,67
2018-11-25,63
2018-12-02,65
2018-12-09,64
2018-12-16,68
2018-12-23,77
2018-12-30,95
2019-01-06,78
2019-01-13,74
2019-01-20,71
2019-01-27,70
2019-02-03,74
2019-02-10,71
2019-02-17,75
2019-02-24,73
2019-03-03,70
2019-03-10,77
2019-03-17,74
2019-03-24,76
2019-03-31,88
2019-04-07,78
2019-04-14,77
2019-04-21,83
2019-04-28,80
2019-05-05,91
2019-05-12,74
2019-05-19,77
2019-05-26,82
2019-06-02,95
2019-06-09,80
2019-06-16,76
2019-06-23,80
2019-06-30,78
2019-07-07,76
2019-07-14,76
2019-07-21,80
2019-07-28,86
2019-08-04,82
2019-08-11,73
2019-08-18,71
2019-08-25,68
2019-09-01,68
2019-09-08,68
2019-09-15,73
2019-09-22,76
