Category: All categories

Region,McDonalds: (9/26/14 - 9/26/19)
Kentucky,100
Illinois,99
Ohio,98
Indiana,96
West Virginia,96
Michigan,94
Arkansas,90
Missouri,90
Wisconsin,89
Mississippi,85
Louisiana,84
Hawaii,84
Tennessee,84
Oklahoma,83
North Carolina,81
Georgia,81
Alabama,80
South Carolina,79
Arizona,78
Florida,78
New Mexico,77
Iowa,76
Nebraska,76
Minnesota,75
Nevada,75
Kansas,75
District of Columbia,74
Maryland,73
North Dakota,72
Delaware,72
Texas,71
Pennsylvania,70
South Dakota,69
Wyoming,67
Washington,66
Utah,65
California,64
Colorado,64
Montana,63
Maine,63
Idaho,62
Virginia,62
Connecticut,61
New York,60
Alaska,59
Rhode Island,58
Massachusetts,58
New Hampshire,58
New Jersey,55
Oregon,54
Vermont,53
