Category: All categories

Week,McDonalds: (United States)
2014-09-28,51
2014-10-05,52
2014-10-12,53
2014-10-19,53
2014-10-26,48
2014-11-02,43
2014-11-09,41
2014-11-16,39
2014-11-23,41
2014-11-30,39
2014-12-07,43
2014-12-14,41
2014-12-21,61
2014-12-28,48
2015-01-04,42
2015-01-11,42
2015-01-18,42
2015-01-25,44
2015-02-01,44
2015-02-08,40
2015-02-15,40
2015-02-22,40
2015-03-01,42
2015-03-08,47
2015-03-15,44
2015-03-22,42
2015-03-29,47
2015-04-05,43
2015-04-12,44
2015-04-19,43
2015-04-26,42
2015-05-03,44
2015-05-10,43
2015-05-17,45
2015-05-24,45
2015-05-31,45
2015-06-07,45
2015-06-14,45
2015-06-21,46
2015-06-28,49
2015-07-05,55
2015-07-12,55
2015-07-19,57
2015-07-26,54
2015-08-02,48
2015-08-09,45
2015-08-16,45
2015-08-23,45
2015-08-30,49
2015-09-06,47
2015-09-13,45
2015-09-20,45
2015-09-27,46
2015-10-04,56
2015-10-11,48
2015-10-18,45
2015-10-25,44
2015-11-01,45
2015-11-08,46
2015-11-15,43
2015-11-22,48
2015-11-29,42
2015-12-06,40
2015-12-13,40
2015-12-20,64
2015-12-27,51
2016-01-03,46
2016-01-10,43
2016-01-17,43
2016-01-24,43
2016-01-31,42
2016-02-07,42
2016-02-14,43
2016-02-21,44
2016-02-28,45
2016-03-06,44
2016-03-13,45
2016-03-20,46
2016-03-27,56
2016-04-03,55
2016-04-10,55
2016-04-17,58
2016-04-24,50
2016-05-01,48
2016-05-08,48
2016-05-15,48
2016-05-22,50
2016-05-29,51
2016-06-05,50
2016-06-12,51
2016-06-19,52
2016-06-26,52
2016-07-03,54
2016-07-10,52
2016-07-17,53
2016-07-24,53
2016-07-31,52
2016-08-07,47
2016-08-14,48
2016-08-21,45
2016-08-28,47
2016-09-04,45
2016-09-11,45
2016-09-18,44
2016-09-25,45
2016-10-02,45
2016-10-09,44
2016-10-16,44
2016-10-23,43
2016-10-30,43
2016-11-06,40
2016-11-13,43
2016-11-20,53
2016-11-27,44
2016-12-04,43
2016-12-11,44
2016-12-18,46
2016-12-25,73
2017-01-01,51
2017-01-08,44
2017-01-15,54
2017-01-22,52
2017-01-29,49
2017-02-05,47
2017-02-12,45
2017-02-19,48
2017-02-26,47
2017-03-05,47
2017-03-12,53
2017-03-19,47
2017-03-26,50
2017-04-02,53
2017-04-09,54
2017-04-16,55
2017-04-23,55
2017-04-30,57
2017-05-07,54
2017-05-14,55
2017-05-21,54
2017-05-28,58
2017-06-04,59
2017-06-11,60
2017-06-18,59
2017-06-25,62
2017-07-02,61
2017-07-09,60
2017-07-16,64
2017-07-23,60
2017-07-30,62
2017-08-06,61
2017-08-13,56
2017-08-20,54
2017-08-27,54
2017-09-03,52
2017-09-10,56
2017-09-17,51
2017-09-24,52
2017-10-01,71
2017-10-08,62
2017-10-15,52
2017-10-22,53
2017-10-29,53
2017-11-05,53
2017-11-12,52
2017-11-19,63
2017-11-26,50
2017-12-03,51
2017-12-10,49
2017-12-17,53
2017-12-24,88
2017-12-31,64
2018-01-07,54
2018-01-14,54
2018-01-21,53
2018-01-28,52
2018-02-04,51
2018-02-11,53
2018-02-18,55
2018-02-25,61
2018-03-04,59
2018-03-11,54
2018-03-18,53
2018-03-25,58
2018-04-01,56
2018-04-08,54
2018-04-15,53
2018-04-22,53
2018-04-29,53
2018-05-06,53
2018-05-13,54
2018-05-20,57
2018-05-27,59
2018-06-03,59
2018-06-10,62
2018-06-17,62
2018-06-24,62
2018-07-01,65
2018-07-08,63
2018-07-15,68
2018-07-22,76
2018-07-29,72
2018-08-05,64
2018-08-12,61
2018-08-19,58
2018-08-26,57
2018-09-02,57
2018-09-09,53
2018-09-16,54
2018-09-23,56
2018-09-30,61
2018-10-07,64
2018-10-14,62
2018-10-21,63
2018-10-28,62
2018-11-04,54
2018-11-11,53
2018-11-18,65
2018-11-25,51
2018-12-02,51
2018-12-09,52
2018-12-16,54
2018-12-23,100
2018-12-30,73
2019-01-06,56
2019-01-13,60
2019-01-20,56
2019-01-27,55
2019-02-03,56
2019-02-10,57
2019-02-17,59
2019-02-24,57
2019-03-03,58
2019-03-10,60
2019-03-17,61
2019-03-24,64
2019-03-31,63
2019-04-07,61
2019-04-14,62
2019-04-21,66
2019-04-28,64
2019-05-05,67
2019-05-12,67
2019-05-19,68
2019-05-26,72
2019-06-02,73
2019-06-09,77
2019-06-16,78
2019-06-23,82
2019-06-30,79
2019-07-07,69
2019-07-14,69
2019-07-21,74
2019-07-28,76
2019-08-04,70
2019-08-11,68
2019-08-18,67
2019-08-25,65
2019-09-01,61
2019-09-08,58
2019-09-15,59
2019-09-22,74
