Category: All categories

Region,Five Guys: (9/26/14 - 9/26/19)
District of Columbia,100
Maryland,98
New Hampshire,80
Virginia,72
Connecticut,72
Delaware,71
Rhode Island,71
Massachusetts,70
Maine,65
Florida,64
Michigan,61
South Carolina,61
Georgia,60
Ohio,57
Indiana,56
New Jersey,55
Montana,55
Pennsylvania,54
Tennessee,54
Alabama,54
New York,53
Louisiana,52
Vermont,50
Utah,50
North Carolina,48
Missouri,48
Kansas,47
Minnesota,47
North Dakota,45
Arizona,45
Colorado,44
Illinois,44
West Virginia,43
Mississippi,43
Washington,42
Nevada,41
Oregon,40
South Dakota,39
Kentucky,38
New Mexico,38
Idaho,37
Oklahoma,36
Nebraska,36
California,35
Wisconsin,35
Texas,34
Iowa,30
Wyoming,28
Hawaii,28
Arkansas,28
Alaska,7
